Requirement ID,Requirement,Test Module,Test Name
`R-08975 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Resource%20IDs.html#R-08975>`_,"A VNF's Heat Orchestration Template's Resource ``OS::Heat::SoftwareConfig``
Resource ID **MUST** contain the ``{vm-type}``.",`test_software_config_resource_id <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_software_config_resource_id.py>`_,test_software_config_vm_type
`R-09811 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Nova%20Metadata%20Parameters.html#R-09811>`_,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``vf_module_index`` **MUST NOT**
have parameter constraints defined.",`test_required_parameters_no_constraints <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_required_parameters_no_constraints.py>`_,test_vf_module_index_parameter_has_no_constraints
`R-10754 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Neutron%20Parameters.html#R-10754>`_,"If a VNF has two or more ports that
attach to an external network that require a Virtual IP Address (VIP),
and the VNF requires ONAP automation to assign the IP address,
all the Virtual Machines using the VIP address **MUST**
be instantiated in the same Base Module Heat Orchestration Template
or in the same Incremental Module Heat Orchestration Template.",`test_neutron_port_addresses <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_neutron_port_addresses.py>`_,test_neutron_port_floating
`R-10834 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Orchestration%20Template%20Format.html#R-10834>`_,"If a VNF's Heat Orchestration Template resource attribute
``property:`` uses a nested ``get_param``, the nested
``get_param`` **MUST** reference an index.

That is, to obtain a property value, two ``get_param`` intrinsic
functions are used.  The second ``get_param`` must be used
to obtain an index value used to reference a parameter value in
a parameter defined as ``type: comma_delimited_list``.  For
example:

* ``name: {get_param: [ name, get_param: index ] }``",`test_nested_parameter_args <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_nested_parameter_args.py>`_,test_nested_parameter_args
`R-11041 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Template%20Constructs.html#R-11041>`_,"All parameters defined in a VNFs Nested YAML file
**MUST**  be passed in as properties of the resource calling
the nested yaml file.",`test_nested_template_parameters <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_nested_template_parameters.py>`_,test_nested_template_parameters
`R-11200 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Orchestration%20Templates%20Overview.html#R-11200>`_,"A VNF's Cinder Volume Module, when it exists, **MUST** be 1:1
with a Base module or Incremental module.",`test_volume_outputs_consumed <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_volume_outputs_consumed.py>`_,test_volume_outputs_consumed
`R-11441 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Orchestration%20Template%20Format.html#R-11441>`_,"A VNF's Heat Orchestration Template's parameter type **MUST** be one of
the following values:

* ``string``
* ``number``
* ``json``
* ``comma_delimited_list``
* ``boolean``",`test_heat_template_structure <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_heat_template_structure.py>`_,test_parameter_type
`R-11690 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Resource%20IDs.html#R-11690>`_,"When a VNF's Heat Orchestration Template's Resource ID contains an
``{index}``, the ``{index}`` is a numeric value that **MUST** start at
zero and **MUST** increment by one.

As stated in R-16447,
*a VNF's <resource ID> MUST be unique across all Heat
Orchestration Templates and all HEAT Orchestration Template
Nested YAML files that are used to create the VNF*.  While the ``{index}``
will start at zero in the VNF, the ``{index}`` may not start at zero
in a given Heat Orchestration Template or HEAT Orchestration Template
Nested YAML file.",`test_resource_indices <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_resource_indices.py>`_,test_indices_start_at_0_increment
`R-13194 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Nova%20Metadata%20Parameters.html#R-13194>`_,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property
``metadata`` key/value pair ``environment_context`` **MUST NOT**
be enumerated in the Heat Orchestration Template's environment file.",`test_environment_file_parameters <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_environment_file_parameters.py>`_,test_nova_server_environment_context_parameter_doesnt_exist_in_environment_file
`R-15287 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Neutron%20Parameters.html#R-15287>`_,"When the VNF's Heat Orchestration Template's
resource ``OS::Neutron::Port`` is attaching
to an external network (per the ONAP definition, see
Requirement R-57424),
and an IPv6 address is being cloud assigned by OpenStack's DHCP Service
and the external network IPv6 subnet is to be specified
using the property ``fixed_ips``
map property ``subnet``, the parameter
**MUST** follow the naming convention

  * ``{network-role}_v6_subnet_id``

where

  * ``{network-role}`` is the network role of the network.",`test_neutron_port_fixed_ips <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_neutron_port_fixed_ips.py>`_,test_neutron_port_external_fixed_ips
`R-15480 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Nova%20Metadata%20Parameters.html#R-15480>`_,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property
``metadata`` key/value pair ``vf_module_name`` parameter ``vf_module_name``
**MUST NOT** have parameter constraints defined.",`test_required_parameters_no_constraints <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_required_parameters_no_constraints.py>`_,test_vf_module_name_parameter_has_no_constraints
`R-16241 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Networking.html#R-16241>`_,"A VNF's internal network **MUST** have one subnet.
A VNF's internal network **MAY** have more than one subnet.",`test_network_format <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_network_format.py>`_,test_network_has_subnet
`R-16437 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Resource%20IDs.html#R-16437>`_,"A VNF's Heat Orchestration Template's Resource ``OS::ContrailV2::ServiceTemplate``
Resource ID **MUST** contain the ``{vm-type}``.",`test_contrail_resource_id <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_contrail_resource_id.py>`_,test_contrail_servicetemplate_resource_id
`R-16447 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Orchestration%20Template%20Format.html#R-16447>`_,"A VNF's <resource ID> **MUST** be unique across all Heat
Orchestration Templates and all HEAT Orchestration Template
Nested YAML files that are used to create the VNF.",`test_unique_resources_across_all_templates <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_unique_resources_across_all_templates.py>`_,test_unique_resources_across_all_yaml_files
`R-16968 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Networking.html#R-16968>`_,"A VNF's Heat Orchestration Templates **MUST NOT** include heat
resources to create external networks.",`test_network_format <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_network_format.py>`_,test_network_resource_id_format
`R-17528 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Template%20Constructs.html#R-17528>`_,"A VNF's Heat Orchestration Template's first level Nested YAML file
**MUST NOT** contain more than one ``OS::Nova::Server`` resource.
A VNF's Heat Orchestration Template's second level Nested YAML file
**MUST NOT** contain an ``OS::Nova::Server`` resource.",`test_nesting_nova_server <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_nesting_nova_server.py>`_,test_nesting_nova_server
`R-18008 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Neutron%20Parameters.html#R-18008>`_,"The VNF's Heat Orchestration Template's Resource ``OS::Neutron::Port``
property ``network`` parameter **MUST** be declared as type: ``string``.",`test_neutron_port_network_parameter <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_neutron_port_network_parameter.py>`_,test_neutron_port_network_param_is_string
`R-18683 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/ONAP%20Output%20Parameter%20Names.html#R-18683>`_,"If a VNF has one IPv4 OAM Management IP Address and the
IP Address needs to be inventoried in ONAP's A&AI
database, an output parameter **MUST** be declared in only one of the
VNF's Heat Orchestration Templates and the parameter **MUST** be named
``oam_management_v4_address``.",`test_oam_address_outputs <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_oam_address_outputs.py>`_,test_oam_address_v4_zero_or_one
`R-19756 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Contrail%20Resource%20Parameters.html#R-19756>`_,"If a VNF's Heat Orchestration Template
``OS::ContrailV2::InterfaceRouteTable`` resource
``interface_route_table_routes`` property
``interface_route_table_routes_route`` map property parameter
``{vm-type}_{network-role}_route_prefixes``
**MUST** be defined as type ``json``.",`test_contrail_irt_routes <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_contrail_irt_routes.py>`_,test_contrail_irt_route_param_type
`R-20065 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Resource%20IDs.html#R-20065>`_,"A VNF's Heat Orchestration Template's Resource
``OS::ContrailV2::PortTuple``
Resource ID **MUST** contain the ``{vm-type}``.",`test_contrail_resource_id <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_contrail_resource_id.py>`_,test_contrail_porttuple_resource_id
`R-20308 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Nova%20Metadata%20Parameters.html#R-20308>`_,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``environment_context``
parameter **MUST** be declared as ``environment_context`` and the
parameter type **MUST** be defined as type: ``string``.",`test_nova_servers_environment_context <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_nova_servers_environment_context.py>`_,test_environment_context
`R-20453 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Resource%20IDs.html#R-20453>`_,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::Port``
that is attaching to an external network Resource ID
**MUST** use the naming convention

* ``{vm-type}_{vm-type_index}_{network-role}_port_{port-index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port is attached to
* ``{port-index}`` is the instance of the port on the vm-type
  attached to the network of ``{network-role}``",`test_port_resource_ids <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_port_resource_ids.py>`_,test_port_resource_ids
`R-20856 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Nova%20Metadata%20Parameters.html#R-20856>`_,"A VNF's Heat Orchestration Template's ``OS::Nova::Server``
resource property
``metadata`` key/value pair ``vnf_id`` parameter ``vnf_id`` **MUST NOT**
be enumerated in the Heat Orchestration Template's environment file.",`test_environment_file_parameters <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_environment_file_parameters.py>`_,test_nova_server_vnf_id_parameter_doesnt_exist_in_environment_file
`R-20947 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Resource%20IDs.html#R-20947>`_,"A VNF's Heat Orchestration Template's Resource ``OS::ContrailV2::InstanceIp``
that is configuring an IPv4 Address on a sub-interface port attached to a
sub-interface network Resource ID **MUST** use the naming convention

*  ``{vm-type}_{vm-type_index}_subint_{network-role}_vmi_{vmi_index}_IP_{index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port is attached to
* ``{vmi_index}`` is the instance of the virtual machine interface
  (e.g., port)  on the vm-type
  attached to the network of ``{network-role}``
* ``IP`` signifies that an IPv4 address is being configured
* ``{index}`` is the index of the IPv4 address",`test_contrail_instance_ip_resource_id <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_contrail_instance_ip_resource_id.py>`_,test_contrail_instance_ip_resource_id_subint
`R-22288 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Neutron%20Parameters.html#R-22288>`_,"The VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` property ``fixed_ips``
map property ``subnet`` parameter
``int_{network-role}_v6_subnet_id``
**MUST NOT** be enumerated in the
VNF's Heat Orchestration Template's Environment File.",`test_environment_file_parameters <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_environment_file_parameters.py>`_,test_neutron_port_fixedips_subnet_parameter_doesnt_exist_in_environment_file
`R-22688 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Networking.html#R-22688>`_,"If a VNF's port is connected to an internal network and the port is
created in an Incremental Module and the internal network is created
in the Base Module then the UUID of the internal network **MUST** be
exposed as a parameter in the ``outputs:`` section of the Base Module
and the port resource **MUST** use a ``get_param`` to obtain the network
UUID.",`test_neutron_port_internal_network <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_neutron_port_internal_network.py>`_,test_neutron_port_internal_network
`R-22838 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Nova%20Parameters.html#R-22838>`_,"The VNF's Heat Orchestration Template's Resource ``OS::Nova::Server``
property
``name`` parameter **MUST NOT** be enumerated in the Heat Orchestration
Template's Environment File.",`test_environment_file_parameters <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_environment_file_parameters.py>`_,test_nova_server_name_parameter_doesnt_exist_in_environment_file
`R-23311 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Nova%20Parameters.html#R-23311>`_,"The VNF's Heat Orchestration Template's Resource
``OS::Nova::Server`` property
``availability_zone`` parameter **MUST** be declared as type: ``string``.",`test_server_parameters <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_server_parameters.py>`_,test_availability_zone_parameter_type
`R-23503 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Neutron%20Parameters.html#R-23503>`_,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an external network (per the
ONAP definition, see Requirement R-57424),
and an IPv6 address is assigned
using the property ``fixed_ips``
map property ``ip_address`` and the parameter type is defined as a
``comma_delimited_list``,
the parameter name **MUST** follow the
naming convention

  * ``{vm-type}_{network-role}_v6_ips``

where

  * ``{vm-type}`` is the {vm-type} associated with the
    OS::Nova::Server
  * ``{network-role}`` is the {network-role} of the external
    network",`test_fixed_ips_include_vm_type_network_role <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_fixed_ips_include_vm_type_network_role.py>`_,test_fixed_ips_include_vm_type_network_role
`R-23664 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Orchestration%20Template%20Format.html#R-23664>`_,"A VNF's Heat Orchestration template **MUST**
contain the section ``resources:``.",`test_heat_template_structure <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_heat_template_structure.py>`_,test_heat_template_structure_contains_resources
`R-25720 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Resource%20IDs.html#R-25720>`_,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::Net``
Resource ID **MUST** use the naming convention

* ``int_{network-role}_network``

VNF Heat Orchestration Templates can only create internal networks.
There is no ``{index}`` after ``{network-role}`` because ``{network-role}``
**MUST** be unique in the scope of the VNF's
Heat Orchestration Template.",`test_neutron_net_resource_id <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_neutron_net_resource_id.py>`_,test_neutron_net_resource_id
`R-25877 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Orchestration%20Template%20Format.html#R-25877>`_,"A VNF's Heat Orchestration Template's parameter name
(i.e., <param name>) **MUST** contain only alphanumeric
characters and underscores ('_').",`test_heat_parameter_section <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_heat_parameter_section.py>`_,test_parameter_names
`R-26351 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/Resource%20IDs.html#R-26351>`_,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::Port``
that is attaching to an internal network Resource ID **MUST**
use the naming convention

* ``{vm-type}_{vm-type_index}_int_{network-role}_port_{port-index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port is attached to
* ``{port-index}`` is the instance of the port on the vm-type
  attached to the network of ``{network-role}``",`test_port_resource_ids <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_port_resource_ids.py>`_,test_port_resource_ids
`R-26506 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Resource%20ID%20and%20Parameter%20Naming%20Convention/{network-role}.html#R-26506>`_,"A VNF's Heat Orchestration Template's ``{network-role}`` **MUST** contain
only alphanumeric characters and/or underscores '_' and
**MUST NOT** contain any of the following strings:
``_int`` or ``int_`` or ``_int_``.",`test_port_resource_ids <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_port_resource_ids.py>`_,test_port_resource_ids
`R-270358 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Cinder%20Volumes.html#R-270358>`_,"A VNF's Heat Orchestration Template's Cinder Volume Template **MUST**
contain either

* An ``OS::Cinder::Volume`` resource
* An ``OS::Heat::ResourceGroup`` resource that references a Nested YAML
  file that contains an ``OS::Cinder::Volume`` resource
* A resource that defines the property ``type`` as a Nested YAML file
  (i.e., static nesting) and the Nested YAML contains
  an ``OS::Cinder::Volume`` resource",`test_volume_templates <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_volume_templates.py>`_,test_volume_templates_contains_cinder_or_resource_group
`R-27078 <https://docs.onap.org/en/latest/submodules/vnfrqts/requirements.git/docs/Chapter5/Heat/ONAP%20Heat%20Orchestration%20Template%20Format.html#R-27078>`_,"A VNF's Heat Orchestration template **MUST** contain the
section ``heat_template_version:``.",`test_heat_template_structure <https://github.com/onap/vvp-validation-scripts/blob/master/ice_validator/tests/test_heat_template_structure.py>`_,test_heat_template_structure_contains_heat_template_version
