Requirement ID,Requirement,Section,Keyword,Validation Mode,Is Testable,Test Module,Test Name
R-10754,"If a VNF has two or more ports that
attach to an external network that require a Virtual IP Address (VIP),
and the VNF requires ONAP automation to assign the IP address,
all the Virtual Machines using the VIP address **MUST**
be instantiated in the same Base Module Heat Orchestration Template
or in the same Incremental Module Heat Orchestration Template.","VIP Assignment, External Networks, Supported by Automation",MUST,static,TRUE,tests.test_neutron_port_addresses,test_neutron_port_floating
R-10834,"If a VNF's Heat Orchestration Template resource attribute
``property:`` uses a nested ``get_param``, the nested
``get_param`` **MUST** reference an index.

That is, to obtain a property value, two ``get_param`` intrinsic
functions are used.  The second ``get_param`` must be used
to obtain an index value used to reference a parameter value in
a parameter defined as ``type: comma_delimited_list``.  For
example:

* ``name: {get_param: [ name, get_param: index ] }``",properties,MUST,static,TRUE,tests.test_nested_parameter_args,test_nested_parameter_args
R-11041,"All parameters defined in a VNFs Nested YAML file
**MUST**  be passed in as properties of the resource calling
the nested yaml file.",Nested Heat Template Requirements,MUST,,TRUE,tests.test_nested_template_parameters,test_nested_template_parameters
R-11168,"A VNF's Heat Orchestration Template's Resource ID that is associated with
an external network **MUST** include the ``{network-role}`` as part
of the resource ID.",{network-role},MUST,none,FALSE,,
R-11200,"A VNF's Cinder Volume Module, when it exists, **MUST** be 1:1
with a Base module or Incremental module.",ONAP VNF Modularity Overview,MUST,static,TRUE,tests.test_volume_outputs_consumed,test_volume_outputs_consumed
R-11441,"A VNF's Heat Orchestration Template's parameter type **MUST** be one of
the following values:

* ``string``
* ``number``
* ``json``
* ``comma_delimited_list``
* ``boolean``",type,MUST,static,TRUE,tests.test_heat_template_structure,test_parameter_type
R-11690,"When a VNF's Heat Orchestration Template's Resource ID contains an
``{index}``, the ``{index}`` is a numeric value that **MUST** start at
zero and **MUST** increment by one.

As stated in R-16447,
*a VNF's <resource ID> MUST be unique across all Heat
Orchestration Templates and all HEAT Orchestration Template
Nested YAML files that are used to create the VNF*.  While the ``{index}``
will start at zero in the VNF, the ``{index}`` may not start at zero
in a given Heat Orchestration Template or HEAT Orchestration Template
Nested YAML file.",Resource IDs,MUST,static,TRUE,tests.test_resource_indices,test_indices_start_at_0_increment
R-13194,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property
``metadata`` key/value pair ``environment_context`` **MUST NOT**
be enumerated in the Heat Orchestration Template's environment file.",environment_context,MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_nova_server_environment_context_parameter_doesnt_exist_in_environment_file
R-13196,A VNF **MAY** be composed of zero to many Incremental Modules.,ONAP VNF Modularity Overview,MAY,,FALSE,,
R-14198,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::SecurityGroup`` that
is applicable to one {vm-type} and one internal network Resource ID **SHOULD**
use the naming convention

* ``{vm-type}_int_{network-role}_security_group``

where

* ``{vm-type}`` is the vm-type
* ``{network-role}`` is the network-role",OS::Neutron::SecurityGroup,SHOULD,,FALSE,,
R-14447,"A VNF's Heat Orchestration Template's Resource ``OS::ContrailV2::ServiceTemplate``
Resource ID **MAY** use the naming convention

* ``{vm-type}_RST_{index}``

where

* ``{vm-type}`` is the vm-type
* ``RST`` signifies that it is the Resource Service Template
* ``{index}`` is the index",OS::ContrailV2::ServiceTemplate,MAY,,FALSE,,
R-15189,"A VNF's Heat Orchestration Template's Resource ``OS::Nova::ServerGroup`` Resource ID
**MAY** use the naming convention

* ``{vm-type}_RSG``

or

* ``{vm-type}_Server_Grp``

or

* ``{vm-type}_ServerGroup``

or

* ``{vm-type}_servergroup``",OS::Nova::ServerGroup,MAY,,FALSE,,
R-15287,"When the VNF's Heat Orchestration Template's
resource ``OS::Neutron::Port`` is attaching
to an external network (per the ONAP definition, see
Requirement R-57424),
and an IPv6 address is being cloud assigned by OpenStack's DHCP Service
and the external network IPv6 subnet is to be specified
using the property ``fixed_ips``
map property ``subnet``, the parameter
**MUST** follow the naming convention

  * ``{network-role}_v6_subnet_id``

where

  * ``{network-role}`` is the network role of the network.","Property: fixed_ips, Map Property: subnet",MUST,static,TRUE,tests.test_neutron_port_fixed_ips,test_neutron_port_external_fixed_ips
R-15480,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property
``metadata`` key/value pair ``vf_module_name`` parameter ``vf_module_name``
**MUST NOT** have parameter constraints defined.",vf_module_name,MUST NOT,static,TRUE,tests.test_required_parameters_no_constraints,test_vf_module_name_parameter_has_no_constraints
R-16241,"A VNF's internal network **MUST** have one subnet.
A VNF's internal network **MAY** have more than one subnet.",Internal Networks,MUST,static,TRUE,tests.test_network_format,test_network_has_subnet
R-16437,"A VNF's Heat Orchestration Template's Resource ``OS::ContrailV2::ServiceTemplate``
Resource ID **MUST** contain the ``{vm-type}``.",OS::ContrailV2::ServiceTemplate,MUST,static,TRUE,tests.test_contrail_resource_id,test_contrail_servicetemplate_resource_id
R-16447,"A VNF's <resource ID> **MUST** be unique across all Heat
Orchestration Templates and all HEAT Orchestration Template
Nested YAML files that are used to create the VNF.",resource ID,MUST,static,TRUE,tests.test_unique_resources_across_all_templates,test_unique_resources_across_all_yaml_files
R-16968,"A VNF's Heat Orchestration Templates **MUST NOT** include heat
resources to create external networks.",External Networks,MUST NOT,static,TRUE,tests.test_network_format,test_network_resource_id_format
R-17334,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::SecurityGroup``
that is applicable to one ``{vm-type}`` and one external network Resource ID
**SHOULD** use the naming convention

* ``{vm-type}_{network-role}_security_group``

where

* ``{vm-type}`` is the vm-type
* ``{network-role}`` is the network-role",OS::Neutron::SecurityGroup,SHOULD,,FALSE,,
R-17528,"A VNF's Heat Orchestration Template's first level Nested YAML file
**MUST NOT** contain more than one ``OS::Nova::Server`` resource.
A VNF's Heat Orchestration Template's second level Nested YAML file
**MUST NOT** contain an ``OS::Nova::Server`` resource.",Nested Heat Template Requirements,MUST,,TRUE,tests.test_nesting_nova_server,test_nesting_nova_server
R-18001,"If the VNF's ports connected to a unique internal network
and the port's IP addresses are statically assigned IP Addresses,
the IPv4 Addresses **MAY** be from different subnets and the
IPv6 Addresses **MAY** be from different subnets.",Items to Note,MAY,,FALSE,,
R-18008,"The VNF's Heat Orchestration Template's Resource ``OS::Neutron::Port``
property ``network`` parameter **MUST** be declared as type: ``string``.",Property: network,MUST,static,TRUE,tests.test_neutron_port_network_parameter,test_neutron_port_network_param_is_string
R-18202,"A VNF's Heat Orchestration Template's Resource
``OS::Heat::MultipartMime``
Resource ID
**MAY**
use the naming convention

* ``{vm-type}_RMM``

where

* ``{vm-type}`` is the vm-type
* ``RMM`` signifies that it is the Resource Multipart Mime",OS::Heat::MultipartMime,MAY,,FALSE,,
R-18683,"If a VNF has one IPv4 OAM Management IP Address and the
IP Address needs to be inventoried in ONAP's A&AI
database, an output parameter **MUST** be declared in only one of the
VNF's Heat Orchestration Templates and the parameter **MUST** be named
``oam_management_v4_address``.",OAM Management IP Addresses,MUST,static,TRUE,tests.test_oam_address_outputs,test_oam_address_v4_zero_or_one
R-19756,"If a VNF's Heat Orchestration Template
``OS::ContrailV2::InterfaceRouteTable`` resource
``interface_route_table_routes`` property
``interface_route_table_routes_route`` map property parameter
``{vm-type}_{network-role}_route_prefixes``
**MUST** be defined as type ``json``.",Interface Route Table Prefixes for Contrail InterfaceRoute Table,MUST,static,TRUE,tests.test_contrail_irt_routes,test_contrail_irt_route_param_type
R-20065,"A VNF's Heat Orchestration Template's Resource
``OS::ContrailV2::PortTuple``
Resource ID **MUST** contain the ``{vm-type}``.",OS::ContrailV2::PortTuple,MUST,static,TRUE,tests.test_contrail_resource_id,test_contrail_porttuple_resource_id
R-20308,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``environment_context``
parameter **MUST** be declared as ``environment_context`` and the
parameter type **MUST** be defined as type: ``string``.",environment_context,MUST,static,TRUE,tests.test_nova_servers_environment_context,test_environment_context
R-20319,"A VNF's Heat Orchestration Template's Resource ``OS::Heat::CloudConfig``
Resource ID **MAY** use the naming convention

* ``{vm-type}_RCC``

where

* ``{vm-type}`` is the vm-type
* ``RCC`` signifies that it is the Resource Cloud Config",OS::Heat::CloudConfig,MAY,,FALSE,,
R-20453,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::Port``
that is attaching to an external network Resource ID
**MUST** use the naming convention

* ``{vm-type}_{vm-type_index}_{network-role}_port_{port-index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port is attached to
* ``{port-index}`` is the instance of the port on the vm-type
  attached to the network of ``{network-role}``",OS::Neutron::Port,MUST,static,TRUE,tests.test_port_resource_ids,test_port_resource_ids
R-20547,"When an ONAP Volume Module Output Parameter is declared as an input
parameter in a base or an incremental module Heat Orchestration
Template, parameter constraints **SHOULD NOT** be declared.",ONAP Volume Module Output Parameters,SHOULD NOT,static,FALSE,,
R-20856,"A VNF's Heat Orchestration Template's ``OS::Nova::Server``
resource property
``metadata`` key/value pair ``vnf_id`` parameter ``vnf_id`` **MUST NOT**
be enumerated in the Heat Orchestration Template's environment file.",vnf_id,MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_nova_server_vnf_id_parameter_doesnt_exist_in_environment_file
R-20947,"A VNF's Heat Orchestration Template's Resource ``OS::ContrailV2::InstanceIp``
that is configuring an IPv4 Address on a sub-interface port attached to a
sub-interface network Resource ID **MUST** use the naming convention

*  ``{vm-type}_{vm-type_index}_subint_{network-role}_vmi_{vmi_index}_IP_{index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port is attached to
* ``{vmi_index}`` is the instance of the virtual machine interface
  (e.g., port)  on the vm-type
  attached to the network of ``{network-role}``
* ``IP`` signifies that an IPv4 address is being configured
* ``{index}`` is the index of the IPv4 address",OS::ContrailV2::InstanceIp,MUST,static,TRUE,tests.test_contrail_instance_ip_resource_id,test_contrail_instance_ip_resource_id_subint
R-21330,"A VNF's Heat Orchestration Template's Resource property parameter that is
associated with external network **MUST** include the ``{network-role}``
as part of the parameter name.",{network-role},MUST,none,FALSE,,
R-21511,"A VNF's Heat Orchestration Template's use of ``{network-role}``
in all Resource IDs **MUST** be the same case.",{network-role},MUST,none,FALSE,,
R-22288,"The VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` property ``fixed_ips``
map property ``subnet`` parameter
``int_{network-role}_v6_subnet_id``
**MUST NOT** be enumerated in the
VNF's Heat Orchestration Template's Environment File.","Property: fixed_ips, Map Property: subnet",MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_neutron_port_fixedips_subnet_parameter_doesnt_exist_in_environment_file
R-22589,"A VNF's Heat Orchestration Template parameter declaration
**MAY** contain the attribute ``immutable:``.",immutable,MAY,,FALSE,,
R-22608,"When a VNF's Heat Orchestration Template's Base Module's output
parameter is declared as an input parameter in an Incremental Module,
the parameter attribute ``constraints:`` **SHOULD NOT** be declared.",ONAP Base Module Output Parameters,SHOULD NOT,static,FALSE,,
R-22688,"If a VNF's port is connected to an internal network and the port is
created in an Incremental Module and the internal network is created
in the Base Module then the UUID of the internal network **MUST** be
exposed as a parameter in the ``outputs:`` section of the Base Module
and the port resource **MUST** use a ``get_param`` to obtain the network
UUID.",Internal Networks,MUST,static,TRUE,tests.test_neutron_port_internal_network,test_neutron_port_internal_network
R-22838,"The VNF's Heat Orchestration Template's Resource ``OS::Nova::Server``
property
``name`` parameter **MUST NOT** be enumerated in the Heat Orchestration
Template's Environment File.",Property: Name,MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_nova_server_name_parameter_doesnt_exist_in_environment_file
R-23311,"The VNF's Heat Orchestration Template's Resource
``OS::Nova::Server`` property
``availability_zone`` parameter **MUST** be declared as type: ``string``.",Property: availability_zone,MUST,static,TRUE,tests.test_server_parameters,test_availability_zone_parameter_type
R-23503,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an external network (per the
ONAP definition, see Requirement R-57424),
and an IPv6 address is assigned
using the property ``fixed_ips``
map property ``ip_address`` and the parameter type is defined as a
``comma_delimited_list``,
the parameter name **MUST** follow the
naming convention

  * ``{vm-type}_{network-role}_v6_ips``

where

  * ``{vm-type}`` is the {vm-type} associated with the
    OS::Nova::Server
  * ``{network-role}`` is the {network-role} of the external
    network","Property: fixed_ips, Map Property: ip_address",MUST,static,TRUE,tests.test_fixed_ips_include_vm_type_network_role,test_fixed_ips_include_vm_type_network_role
R-23664,"A VNF's Heat Orchestration template **MUST**
contain the section ``resources:``.",resources,MUST,static,TRUE,tests.test_heat_template_structure,test_heat_template_structure_contains_resources
R-24893,"A VNF's Heat Orchestration template's Environment File's
**MAY** contain the ``event_sinks:`` section.",Environment File Format,MAY,,FALSE,,
R-24997,"A VNF's Heat Orchestration Template's Resource ``OS::Nova::Keypair`` applies to
one ``{vm-type}`` Resource ID **SHOULD** use the naming convention

* ``{vm-type}_keypair_{index}``

where

* ``{network-role}`` is the network-role
* ``{index}`` is the ``{index}`` of the keypair",OS::Nova::Keypair,SHOULD,,FALSE,,
R-25190,"A VNF's Heat Orchestration Template's Resource ``OS::Cinder::Volume``
**SHOULD NOT** declare the property ``availability_zone``.",Optional Property availability_zone,SHOULD NOT,,FALSE,,
R-25720,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::Net``
Resource ID **MUST** use the naming convention

* ``int_{network-role}_network``

VNF Heat Orchestration Templates can only create internal networks.
There is no ``{index}`` after ``{network-role}`` because ``{network-role}``
**MUST** be unique in the scope of the VNF's
Heat Orchestration Template.",OS::Neutron::Net,MUST,static,TRUE,tests.test_neutron_net_resource_id,test_neutron_net_resource_id
R-25877,"A VNF's Heat Orchestration Template's parameter name
(i.e., <param name>) **MUST** contain only alphanumeric
characters and underscores ('_').",<param name>,MUST,static,TRUE,tests.test_heat_parameter_section,test_parameter_names
R-26124,"If a VNF Heat Orchestration Template parameter has a default value,
it **MUST** be enumerated in the environment file.",default,MUST,static,TRUE,,
R-26351,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::Port``
that is attaching to an internal network Resource ID **MUST**
use the naming convention

* ``{vm-type}_{vm-type_index}_int_{network-role}_port_{port-index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port is attached to
* ``{port-index}`` is the instance of the port on the vm-type
  attached to the network of ``{network-role}``",OS::Neutron::Port,MUST,static,TRUE,tests.test_port_resource_ids,test_port_resource_ids
R-26506,"A VNF's Heat Orchestration Template's ``{network-role}`` **MUST** contain
only alphanumeric characters and/or underscores '_' and
**MUST NOT** contain any of the following strings:
``_int`` or ``int_`` or ``_int_``.",{network-role},MUST,static,TRUE,tests.test_port_resource_ids,test_port_resource_ids
R-270358,"A VNF's Heat Orchestration Template's Cinder Volume Template **MUST**
contain either

* An ``OS::Cinder::Volume`` resource
* An ``OS::Heat::ResourceGroup`` resource that references a Nested YAML
  file that contains an ``OS::Cinder::Volume`` resource
* A resource that defines the property ``type`` as a Nested YAML file
  (i.e., static nesting) and the Nested YAML contains
  an ``OS::Cinder::Volume`` resource",ONAP Heat Cinder Volumes,MUST,static,TRUE,tests.test_volume_templates,test_volume_templates_contains_cinder_or_resource_group
R-27078,"A VNF's Heat Orchestration template **MUST** contain the
section ``heat_template_version:``.",heat_template_version,MUST,static,TRUE,tests.test_heat_template_structure,test_heat_template_structure_contains_heat_template_version
R-27469,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::Port``
that is creating a *Reserve Port* with an IPv4 address Resource ID
**SHOULD** use the naming convention

* ``reserve_port_{vm-type}_{network-role}_floating_ip_{index}``

where

* ``{vm-type}`` is the vm-type
* ``{network-role}`` is the network-role of the network
  that the port is attached to
* ``{index}`` is the instance of the IPv4 *Reserve Port*
  for the vm-type attached to the network of ``{network-role}``",OS::Neutron::Port,SHOULD,none,FALSE,,
R-27818,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an internal network (per the
ONAP definition, see Requirements R-52425 and R-46461),
and an IPv6 address is assigned
using the property ``fixed_ips``
map property ``ip_address`` and the parameter type is defined as a
``string``,
the parameter name **MUST** follow the
naming convention

* ``{vm-type}_int_{network-role}_v6_ip_{index}``

where

* ``{vm-type}`` is the {vm-type} associated with the ``OS::Nova::Server``
* ``{network-role}`` is the {network-role} of the internal network
* ``{index}`` is a numeric value that **MUST** start at zero in a
  VNF's Heat Orchestration Template and **MUST** increment by one","Property: fixed_ips, Map Property: ip_address",MUST,static,TRUE,tests.test_fixed_ips_include_vm_type_network_role,test_fixed_ips_include_vm_type_network_role
R-27970,"When a VNF's Heat Orchestration Template's resource is associated with
more than one ``{vm-type}`` and/or more than one internal and/or external
network, the Resource ID **MAY** contain the term ``shared`` and/or **MAY**
contain text that identifies the VNF.",Resource IDs,MAY,,FALSE,,
R-28189,"A VNF's Heat Orchestration Template's Resource
``OS::ContrailV2::InterfaceRouteTable``
Resource ID **MAY** use the naming convention

* ``{network-role}_RIRT``

where

* ``{network-role}`` is the network-role
* ``RIRT`` signifies that it is the Resource Interface Route Table",OS::ContrailV2::InterfaceRouteTable,MAY,,FALSE,,
R-28222,"If a VNF's Heat Orchestration Template
``OS::ContrailV2::InterfaceRouteTable`` resource
``interface_route_table_routes`` property
``interface_route_table_routes_route`` map property parameter name
**MUST** follow the format

* ``{vm-type}_{network-role}_route_prefixes``",Interface Route Table Prefixes for Contrail InterfaceRoute Table,MUST,static,TRUE,tests.test_contrail_irt_routes,test_contrail_irt_route_param_format
R-28795,"The VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` property ``fixed_ips``
map property ``ip_address`` parameter
``{vm-type}_int_{network-role}_ip_{index}``
**MUST** be enumerated in the
VNF's Heat Orchestration Template's Environment File.","Property: fixed_ips, Map Property: ip_address",MUST,static,TRUE,tests.test_environment_file_parameters,test_neutron_port_internal_fixedips_ipaddress_parameter_exists_in_environment_file
R-28980,A VNF's incremental module **MAY** be used for initial VNF deployment only.,ONAP VNF Modularity Overview,MAY,,FALSE,,
R-29751,"A VNF's Heat Orchestration Template's Resource ``OS::Nova::Server`` Resource ID
**MUST** use the naming convention

* ``{vm-type}_server_{index}``

where

* ``{vm-type}`` is the vm-type
* ``{index}`` is the index",OS::Nova::Server,MUST,static,TRUE,tests.test_nova_server_resource_id,test_nova_server_resource_id
R-29765,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an internal network (per the
ONAP definition, see Requirements R-52425 and R-46461),
and an IPv6 address is assigned
using the property ``fixed_ips``
map property ``ip_address`` and the parameter type is defined as a
``comma_delimited_list``,
the parameter name **MUST** follow the
naming convention

  * ``{vm-type}_int_{network-role}_v6_ips``

where

  * ``{vm-type}`` is the {vm-type} associated with the
    ``OS::Nova::Server``
  * ``{network-role}`` is the {network-role} of the internal
    network","Property: fixed_ips, Map Property: ip_address",MUST,static,TRUE,tests.test_fixed_ips_include_vm_type_network_role,test_fixed_ips_include_vm_type_network_role
R-29872,"The VNF's Heat Orchestration Template's Resource ``OS::Neutron::Port``
property ``network``
parameter **MUST NOT** be enumerated in the Heat Orchestration
Template's Environment File.",Property: network,MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_neutron_port_network_parameter_doesnt_exist_in_environment_file
R-30005,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::SecurityGroup`` that
is applicable to more than one ``{vm-type}`` and more than one network
(internal and/or external) Resource ID **MAY**
use the naming convention

* ``shared_security_group``

or

* ``{vnf-type}_security_group``

where

* ``{vnf-type}`` describes the VNF",OS::Neutron::SecurityGroup,MAY,,FALSE,,
R-30395,A VNF's Cinder Volume Module **MAY** utilize nested heat.,Nested Heat Orchestration Templates Overview,MAY,,FALSE,,
R-304011,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource's

* Resource ID (defined in R-29751)
* property ``image`` parameter name (defined in R-58670)
* property ``flavor`` parameter name (defined in R-45188)
* property ``name`` parameter name (defined in R-54171 & R-87817)
* property port referenced OS::Neutron::Port Resource ID
  (defined in R-20453)

**MUST** contain the identical ``{vm-type}``
and **MUST** follow the naming conventions defined
in R-58670, R-45188, R-54171, R-87817, and R-29751.  And the ``{index}`` in
the ``OS::Nova::Server`` Resource ID (defined in R-29751) **MUST** match
the ``{vm-type_index}`` defined in
the ``OS::Nova::Server`` property ``port``
referenced ``OS::Neutron::Port`` Resource ID (defined in R-20453).",Resource: OS::Nova::Server - Parameters,MUST,static,TRUE,tests.test_server_and_port_vm_indices_match,test_server_and_port_vmtype_indices_match
